name1,name2,size,repetition,dependent_variable,similarity_threshold,trivial-MCC,trivial-HAL,trivial-TERM,trivial-VAR,merged_file,full-MCC,full-HAL,full-TERM,full-VAR
fusion-tables,cto,medium,0,HAL,0.75,321.0,53583.53939411206,133.0,254.0,fusion-tables+cto.g4,49.0,5024.585808546336,20.0,62.0
z-ops,cto,medium,0,HAL,1.0,195.0,23923.30141279231,92.0,135.0,z-ops+cto.g4,75.0,9634.349771213914,11.0,109.0
romannumerals,stacktrace,medium,1,MCC,0.001,56.0,5737.710191316264,42.0,66.0,romannumerals+stacktrace.g4,39.0,709.3484600584318,37.0,2.0
stacktrace,webidl,medium,1,MCC,0.25,260.0,27489.91967861337,111.0,141.0,stacktrace+webidl.g4,132.0,3968.3757413143976,107.0,9.0
cto,flatbuffers,medium,1,MCC,0.5,233.0,26959.328174605944,120.0,143.0,cto+flatbuffers.g4,127.0,8886.61536726155,58.0,62.0
sgf,fusion-tables,medium,1,MCC,0.75,279.0,38975.204023669,151.0,167.0,sgf+fusion-tables.g4,89.0,3866.5599532412657,91.0,36.0
fusion-tables,webidl,medium,1,MCC,1.0,407.0,58223.0688010407,157.0,251.0,fusion-tables+webidl.g4,348.0,27419.835984763573,106.0,169.0
z-ops,lua,medium,1,HAL,0.001,222.0,18698.773979800204,94.0,82.0,z-ops+lua.g4,108.0,3491.3112478815488,84.0,8.0
python2,romannumerals,medium,1,HAL,0.25,341.0,28190.899550401933,128.0,130.0,python2+romannumerals.g4,159.0,4787.532960615327,127.0,9.0
romannumerals,webidl,medium,1,HAL,0.5,269.0,26757.39416944446,120.0,138.0,romannumerals+webidl.g4,279.0,14629.093988922925,116.0,88.0
sgf,z-ops,medium,1,HAL,0.75,153.0,11021.462663567198,88.0,48.0,sgf+z-ops.g4,109.0,6912.703907422757,81.0,73.0
lua,flatbuffers,medium,1,HAL,1.0,260.0,21470.21914444496,124.0,90.0,lua+flatbuffers.g4,232.0,29974.032108194107,117.0,196.0
sgf,pascal,medium,2,MCC,0.001,272.0,44625.31000412454,160.0,227.0,sgf+pascal.g4,147.0,4655.394129430782,144.0,6.0
lua,webidl,medium,2,MCC,0.25,414.0,38771.38951425343,156.0,163.0,lua+webidl.g4,195.0,6269.237429675645,149.0,15.0
romannumerals,cto,medium,2,MCC,0.5,183.0,23025.037533225444,106.0,141.0,romannumerals+cto.g4,79.0,3888.4992398168447,29.0,41.0
python2,sgf,medium,2,MCC,0.75,417.0,31886.642789934114,184.0,121.0,python2+sgf.g4,299.0,38397.05993812492,183.0,271.0
sgf,webidl,medium,2,MCC,1.0,345.0,30547.51981893032,176.0,129.0,sgf+webidl.g4,425.0,44195.3266819494,173.0,254.0
z-ops,flatbuffers,medium,2,HAL,0.001,127.0,11398.264963974147,64.0,59.0,z-ops+flatbuffers.g4,80.0,2527.2935077339243,58.0,7.0
python2,z-ops,medium,2,HAL,0.25,353.0,28990.30662379176,114.0,124.0,python2+z-ops.g4,167.0,5773.144034260061,110.0,19.0
python2,dart2,medium,2,HAL,0.5,704.0,73342.7096524159,184.0,294.0,python2+dart2.g4,458.0,39328.02622698809,180.0,235.0
sgf,lua,medium,2,HAL,0.75,286.0,21595.403762745136,165.0,79.0,sgf+lua.g4,212.0,22432.76688793944,158.0,158.0
dart2,pascal,medium,2,HAL,1.0,559.0,88339.82321631876,204.0,400.0,dart2+pascal.g4,530.0,111858.11742007306,186.0,607.0
stacktrace,lua,medium,3,MCC,0.001,201.0,18340.462945100506,99.0,91.0,stacktrace+lua.g4,97.0,2819.5763087930973,92.0,4.0
fusion-tables,flatbuffers,medium,3,MCC,0.25,253.0,39487.18529512488,122.0,178.0,fusion-tables+flatbuffers.g4,74.0,2491.4787154193345,65.0,12.0
sgf,flatbuffers,medium,3,MCC,0.5,191.0,14130.868223546675,135.0,56.0,sgf+flatbuffers.g4,170.0,8824.636603657806,132.0,48.0
python2,stacktrace,medium,3,MCC,0.75,332.0,28794.582626157666,121.0,133.0,python2+stacktrace.g4,230.0,35492.249311987885,119.0,265.0
romannumerals,z-ops,medium,3,MCC,1.0,77.0,7454.651856510322,27.0,57.0,romannumerals+z-ops.g4,116.0,5625.978531568237,20.0,62.0
sgf,dart2,medium,3,HAL,0.001,504.0,52724.685444720875,221.0,218.0,sgf+dart2.g4,219.0,7426.306518909456,214.0,8.0
z-ops,dart2,medium,3,HAL,0.25,440.0,49698.40378892716,151.0,221.0,z-ops+dart2.g4,218.0,7609.4404257584665,141.0,24.0
fusion-tables,z-ops,medium,3,HAL,0.5,215.0,36175.309425405096,83.0,170.0,fusion-tables+z-ops.g4,32.0,1959.3523589232727,11.0,28.0
z-ops,stacktrace,medium,3,HAL,0.75,68.0,7983.398374338223,26.0,60.0,z-ops+stacktrace.g4,45.0,5102.5184572656,18.0,69.0
fusion-tables,dart2,medium,3,HAL,1.0,566.0,82180.20458111768,199.0,340.0,fusion-tables+dart2.g4,342.0,65686.96223804152,148.0,423.0
z-ops,webidl,medium,4,MCC,0.001,281.0,27749.587876559926,105.0,132.0,z-ops+webidl.g4,123.0,4001.165522607721,99.0,8.0
webidl,dart2,medium,4,MCC,0.25,632.0,72287.87052402238,206.0,302.0,webidl+dart2.g4,283.0,9664.48946811269,200.0,26.0
flatbuffers,webidl,medium,4,MCC,0.5,319.0,30289.04832695132,128.0,140.0,flatbuffers+webidl.g4,311.0,14808.280689525352,124.0,80.0
python2,webidl,medium,4,MCC,0.75,545.0,49714.221677156005,177.0,205.0,python2+webidl.g4,425.0,53310.99007430497,174.0,351.0
cto,webidl,medium,4,MCC,1.0,387.0,44504.00880499216,152.0,216.0,cto+webidl.g4,389.0,37050.022169888485,99.0,227.0
fusion-tables,pascal,medium,4,HAL,0.001,334.0,72890.76270135962,95.0,349.0,fusion-tables+pascal.g4,76.0,2094.6205723816215,74.0,3.0
romannumerals,dart2,medium,4,HAL,0.25,428.0,48830.67543865333,167.0,227.0,romannumerals+dart2.g4,203.0,6336.006521839737,159.0,12.0
romannumerals,lua,medium,4,HAL,0.5,210.0,17992.246805615207,109.0,88.0,romannumerals+lua.g4,176.0,11654.959586679855,102.0,79.0
sgf,romannumerals,medium,4,HAL,0.75,141.0,6083.756089338485,102.0,54.0,sgf+romannumerals.g4,148.0,5288.593608743731,98.0,45.0
python2,lua,medium,4,HAL,1.0,486.0,39601.90310655128,142.0,155.0,python2+lua.g4,370.0,62591.51724980042,137.0,403.0
informix,powerbuilder,large,0,MCC,0.001,1221.0,270747.5641198589,114.0,829.0,informix+powerbuilder.g4,205.0,7065.50726694756,79.0,9.0
fortran77,powerbuilder,large,0,MCC,0.25,813.0,138431.0839319061,301.0,584.0,fortran77+powerbuilder.g4,252.0,7121.916950011765,1.0,23.0
fortran77,rexx,large,0,MCC,0.5,763.0,125973.5448676409,282.0,616.0,fortran77+rexx.g4,377.0,22477.280232043722,0.0,180.0
informix,sharc,large,0,MCC,0.75,1327.0,308553.15819858713,501.0,1157.0,informix+sharc.g4,1230.0,254229.9606976209,80.0,975.0
swift2,objc-two-step,large,0,MCC,1.0,1126.0,150987.38311863193,361.0,653.0,swift2+objc-two-step.g4,2205.0,193314.40745759633,272.0,797.0
edif300,informix,large,0,HAL,0.001,2344.0,431186.2549729573,762.0,1411.0,edif300+informix.g4,750.0,33105.26647259468,756.0,40.0
kotlin,powerbuilder,large,0,HAL,0.25,2754.0,242573.0761615602,1874.0,568.0,kotlin+powerbuilder.g4,332.0,9200.441372421928,1.0,27.0
fortran77,java9,large,0,HAL,0.5,1044.0,157420.9026256203,341.0,722.0,fortran77+java9.g4,278.0,23579.147443204787,38.0,155.0
swift2,rexx,large,0,HAL,0.75,975.0,141468.7901538672,274.0,621.0,swift2+rexx.g4,667.0,82405.66219594644,224.0,475.0
fortran77,sharc,large,0,HAL,1.0,919.0,182407.84204252405,632.0,912.0,fortran77+sharc.g4,1133.0,90857.49117607747,1.0,562.0
swift2,java9,large,1,MCC,0.001,1256.0,174082.87178729515,304.0,727.0,swift2+java9.g4,244.0,8328.487973815936,238.0,8.0
java9,objc-two-step,large,1,MCC,0.25,1145.0,162438.79708560303,261.0,725.0,java9+objc-two-step.g4,286.0,9704.940023061128,110.0,19.0
java9,kotlin,large,1,MCC,0.5,2985.0,259663.05649397097,1878.0,706.0,java9+kotlin.g4,371.0,25185.520068596456,38.0,141.0
cql3,sharc,large,1,MCC,0.75,1025.0,242428.6091676059,620.0,1081.0,cql3+sharc.g4,785.0,68819.44293538509,5.0,480.0
java9,sharc,large,1,MCC,1.0,1150.0,207803.0634692747,553.0,989.0,java9+sharc.g4,970.0,78118.86442442611,39.0,371.0
fortran77,edif300,large,1,HAL,0.001,1936.0,293668.78499256336,902.0,1166.0,fortran77+edif300.g4,778.0,34396.74760422054,697.0,40.0
informix,rexx,large,1,HAL,0.25,1171.0,257951.92709607404,97.0,861.0,informix+rexx.g4,220.0,7335.87246030246,79.0,14.0
kotlin,idl,large,1,HAL,0.5,2607.0,216375.58914071164,1898.0,554.0,kotlin+idl.g4,512.0,44576.973199303706,142.0,241.0
cql3,objc-two-step,large,1,HAL,0.75,1020.0,195874.692838287,373.0,817.0,cql3+objc-two-step.g4,660.0,96113.77736732808,77.0,538.0
kotlin,rexx,large,1,HAL,1.0,2704.0,232003.5117669885,1868.0,600.0,kotlin+rexx.g4,572.0,73897.92869697818,0.0,475.0
cql3,fortran77,large,2,MCC,0.001,919.0,190516.35819875615,404.0,814.0,cql3+fortran77.g4,244.0,7052.559347322177,4.0,17.0
cql3,rexx,large,2,MCC,0.25,869.0,184710.45712237773,224.0,785.0,cql3+rexx.g4,337.0,9660.327012144735,4.0,39.0
swift2,idl,large,2,MCC,0.5,878.0,126405.42901623901,318.0,575.0,swift2+idl.g4,692.0,56201.71874045529,314.0,301.0
edif300,kotlin,large,2,MCC,0.75,3877.0,401624.4442215794,2493.0,1150.0,edif300+kotlin.g4,1334.0,247400.54625070113,697.0,1241.0
rexx,objc-two-step,large,2,MCC,1.0,864.0,131354.48062028384,251.0,619.0,rexx+objc-two-step.g4,1430.0,115435.63619025983,75.0,505.0
edif300,objc-two-step,large,2,HAL,0.001,2037.0,299501.5411348033,867.0,1169.0,edif300+objc-two-step.g4,863.0,37970.58156007815,756.0,39.0
cql3,swift2,large,2,HAL,0.25,1131.0,206707.87464661887,400.0,819.0,cql3+swift2.g4,501.0,20337.72639959353,224.0,57.0
java9,idl,large,2,HAL,0.5,897.0,137689.79169868407,224.0,647.0,java9+idl.g4,253.0,20124.557573612325,151.0,131.0
java9,edif300,large,2,HAL,0.75,2167.0,323589.2740042587,822.0,1243.0,java9+edif300.g4,1083.0,202490.35347713286,728.0,1051.0
objc-two-step,sharc,large,2,HAL,1.0,1020.0,187615.17440646293,598.0,915.0,objc-two-step+sharc.g4,2144.0,161997.31361986988,76.0,654.0
cql3,edif300,large,3,MCC,0.001,2042.0,358371.84812239726,888.0,1335.0,cql3+edif300.g4,822.0,37245.362749156244,698.0,47.0
fortran77,idl,large,3,MCC,0.25,666.0,111292.88129622694,344.0,570.0,fortran77+idl.g4,317.0,11765.846006530212,142.0,30.0
fortran77,informix,large,3,MCC,0.5,1221.0,258829.3461021795,280.0,890.0,fortran77+informix.g4,416.0,27860.985249663427,79.0,152.0
kotlin,objc-two-step,large,3,MCC,0.75,2855.0,243323.44884328372,1948.0,632.0,kotlin+objc-two-step.g4,745.0,99784.16301899914,75.0,555.0
kotlin,informix,large,3,MCC,1.0,3162.0,351318.8421057024,1864.0,874.0,kotlin+informix.g4,1445.0,354194.8628761393,79.0,1177.0
fortran77,swift2,large,3,HAL,0.001,1025.0,145990.74076839056,417.0,650.0,fortran77+swift2.g4,327.0,11558.028789249956,224.0,8.0
powerbuilder,rexx,large,3,HAL,0.25,763.0,132756.65305472087,115.0,555.0,powerbuilder+rexx.g4,276.0,7138.426818461148,1.0,20.0
cql3,idl,large,3,HAL,0.5,772.0,170049.50862213707,313.0,739.0,cql3+idl.g4,460.0,48122.29420947152,142.0,279.0
edif300,idl,large,3,HAL,0.75,1789.0,272745.7573060911,821.0,1091.0,edif300+idl.g4,1232.0,228838.95400628002,812.0,1154.0
rexx,idl,large,3,HAL,1.0,616.0,106534.21101079478,194.0,541.0,rexx+idl.g4,505.0,69695.75714076696,142.0,359.0
swift2,kotlin,large,4,MCC,0.001,2966.0,250019.61874722157,1967.0,634.0,swift2+kotlin.g4,374.0,13408.35961732393,224.0,8.0
fortran77,kotlin,large,4,MCC,0.25,2754.0,239637.88061788926,2011.0,629.0,fortran77+kotlin.g4,331.0,8020.312033603031,0.0,14.0
cql3,informix,large,4,MCC,0.5,1327.0,325221.01125211286,219.0,1059.0,cql3+informix.g4,408.0,35065.71407676568,79.0,190.0
fortran77,objc-two-step,large,4,MCC,0.75,914.0,136480.99298134635,391.0,648.0,fortran77+objc-two-step.g4,660.0,91852.07586973759,75.0,529.0
swift2,informix,large,4,MCC,1.0,1433.0,279307.5676535397,280.0,895.0,swift2+informix.g4,1993.0,384880.2852654688,272.0,1284.0
swift2,powerbuilder,large,4,HAL,0.001,1025.0,153900.71735962262,292.0,589.0,swift2+powerbuilder.g4,344.0,12611.40977470647,224.0,12.0
informix,idl,large,4,HAL,0.25,1074.0,242264.45914584232,196.0,815.0,informix+idl.g4,267.0,8756.911662794326,185.0,20.0
cql3,powerbuilder,large,4,HAL,0.5,919.0,197234.07111919642,235.0,753.0,cql3+powerbuilder.g4,467.0,38265.37574199381,5.0,299.0
swift2,sharc,large,4,HAL,0.75,1131.0,196946.50896415036,625.0,917.0,swift2+sharc.g4,1058.0,118354.87115473906,225.0,611.0
rexx,sharc,large,4,HAL,1.0,869.0,176751.95802022816,502.0,883.0,rexx+sharc.g4,1061.0,73132.16341047194,1.0,442.0
